date,C_NA,C_SA,C_SO,C_PO,C_IO
1995-08-01,14.208114633084119,15.733455983764213,14.526075825466886,18.338921061257185,16.732774974392296
1995-09-01,14.20887574912318,15.733028013518325,14.530869035395828,18.338910562075572,16.733004242716568
1995-10-01,14.209636326204,15.73260270277312,14.535652356117227,18.338900071359188,16.733233486207588
1995-11-01,14.210396366089654,15.732180044532438,14.540425808969895,18.338889589187836,16.73346270477435
1995-12-01,14.211181175047088,15.731746092197344,14.545347976374993,18.338878766652645,16.733699537651862
1996-01-01,14.211965420100398,15.731314927209826,14.55025976594504,18.338867953189418,16.73393634423981
1996-02-01,14.212723822684046,15.73090036149304,14.555003089615733,18.33885749733669,16.734165486468157
1996-03-01,14.213481694307962,15.730488421341834,14.559736630730567,18.338847050150992,16.73439460394022
1996-04-01,14.214239036520807,15.73007910011202,14.564460409977832,18.33883661167631,16.73462369673613
1996-05-01,14.215021065572056,15.729658894753394,14.569331360333926,18.33882583431904,16.73486039995986
1996-06-01,14.215802537873653,15.729241443019845,14.574192046109633,18.338815065899478,16.735097077108115
1996-07-01,14.216558263955411,15.72884011584768,14.578886024693835,18.33880465342545,16.73532609418706
1996-08-01,14.217313465819066,15.72844138266254,14.583570329132474,18.33879424933508,16.735555086534983
1996-09-01,14.218068144990774,15.728045236966228,14.588244980612801,18.33878385362585,16.735784054116863
1996-10-01,14.218847429647557,15.727638612495827,14.593065279792532,18.338773120304626,16.736020627743024
1996-11-01,14.219626165625646,15.727234706850352,14.597875427159378,18.338762395964558,16.736257175127168
1996-12-01,14.220379251780079,15.726846454792067,14.602520606076201,18.338752026234655,16.736486066537406
1997-01-01,14.221156895362874,15.726447965875495,14.60731051759422,18.338741319850225,16.736722561377082
1997-02-01,14.221908938619436,15.726064885872002,14.611936367913437,18.338730967399265,16.73695140253229
1997-03-01,14.222635417236393,15.725697038506393,14.616398812955932,18.33872096827516,16.73717259186088
1997-04-01,14.223386445898127,15.725318992245722,14.621005839220187,18.338710632718644,16.737401384381666
1997-05-01,14.224161969015388,15.724931023114799,14.625756412724387,18.338699961637747,16.737637777256857
1997-06-01,14.224936953671321,15.724545726204072,14.630496988392574,18.33868929946294,16.737874144099543
1997-07-01,14.225686419136387,15.724175437908713,14.635074988612866,18.33867898977791,16.738102861025542
1997-08-01,14.226460331329676,15.72379546576885,14.639795636513313,18.338668345131154,16.738339175846463
1997-09-01,14.227233709621538,15.72341814580934,14.644506353687188,18.338657709255987,16.73857546465906
