date,S_NA,S_SA,S_SO,S_PO,S_IO
1996-05-01,34.937707909914955,35.39381207170601,34.44132799661886,34.66964925934362,34.56131585444546
1996-06-01,34.93783706933256,35.39363686803801,34.441408831074455,34.66966318454454,34.56149788105735
1996-07-01,34.93794917342756,35.39349612897454,34.441554841079736,34.66966733581678,34.56178084544225
1996-08-01,34.938076832930314,35.393247225172736,34.441733355045855,34.669678027303206,34.562091250061805
1996-09-01,34.93817792036722,35.392958181750394,34.44193560919155,34.66965991029172,34.56237013594653
1996-10-01,34.93833231666779,35.39253928231366,34.44213427370144,34.669715752337915,34.56258359118497
1996-11-01,34.93869070452005,35.392076237805504,34.442335761592126,34.66973194249886,34.56277207769879
1996-12-01,34.93908047064824,35.391603875107386,34.442533086789844,34.669742694041474,34.56292158125699
1997-01-01,34.93944809886623,35.39119044202759,34.44268538050394,34.66983091062235,34.56300605132366
1997-02-01,34.93986998568598,35.390884066127384,34.44272745736837,34.66988513816234,34.563151225139976
1997-03-01,34.94018555420754,35.3905309882756,34.44271421968594,34.669846473514625,34.563447054763856
1997-04-01,34.94039415218521,35.39016848698309,34.442715077170774,34.66986465695886,34.56363338391572
1997-05-01,34.94058207724672,35.38989322185828,34.44277422530155,34.66983789505741,34.56384329701923
1997-06-01,34.940647004791366,35.38959835563578,34.442908598671906,34.66981230580024,34.5641921531504
1997-07-01,34.94080864324469,35.38939759431227,34.44307604964281,34.66970523810194,34.564551998537745
1997-08-01,34.94093699652771,35.389128119562976,34.44326888445193,34.66951491609333,34.56498744049211
1997-09-01,34.94095295682785,35.38867965130105,34.443488665546376,34.66945154843562,34.565375313982756
1997-10-01,34.94103904369526,35.388165513390526,34.443699163040144,34.669491499389764,34.56566900906712
1997-11-01,34.9412651650513,35.38767399575225,34.44390843517994,34.66959414041693,34.56585138372484
1997-12-01,34.94164223234739,35.3871696823058,34.444118986315026,34.66962720731639,34.565989556516676
1998-01-01,34.94207273252796,35.386704833732104,34.44427633683119,34.669551340762304,34.566054651981936
1998-02-01,34.94241740110832,35.38632310292281,34.444361917996396,34.66951332460144,34.56594901654255
1998-03-01,34.942789094752456,35.385866890398844,34.444336923570376,34.66949762208601,34.56586284500045
1998-04-01,34.94297205202278,35.38547526474193,34.444299015042105,34.66953333454727,34.565754419342184
1998-05-01,34.942960192764545,35.385259803013625,34.444388021754484,34.669528799723125,34.565700628686066
1998-06-01,34.94300455676016,35.38513771110797,34.44453762443435,34.66953548665823,34.565902451068446
1998-07-01,34.943119436565915,35.38508780692976,34.44469009128329,34.66961488054733,34.566131181987515
1998-08-01,34.94315777417164,35.384929315720946,34.444879895326565,34.669718017848055,34.566394589525665
1998-09-01,34.94312727329274,35.38465729818358,34.44509321656908,34.66980422195997,34.56667471207549
1998-10-01,34.943278004623544,35.38431708755264,34.445291418163514,34.66987129327383,34.566860190059856
1998-11-01,34.943548198893026,35.383936211556176,34.445466942611496,34.66996317143458,34.56706689152519
1998-12-01,34.94387776602325,35.38353172890487,34.44566090181934,34.670045728747645,34.567272472797484
1999-01-01,34.94435757841287,35.383145226794895,34.44581313170489,34.670141967952155,34.56745463108074
1999-02-01,34.94483460716767,35.38275549943591,34.445839601716926,34.67022093644202,34.56769540680924
1999-03-01,34.945366123326195,35.38237729543309,34.44582674678686,34.67036062035818,34.567938869609385
1999-04-01,34.94575886976857,35.382016648921066,34.44576749392688,34.670405079431085,34.56829214129025
1999-05-01,34.94599370215936,35.38171931210966,34.44578205607054,34.67045792000637,34.568670862757095
1999-06-01,34.94611747262555,35.38150979703122,34.44592953645172,34.67051987775962,34.56912723476328
1999-07-01,34.94624478519949,35.38140013545654,34.446118115559585,34.67057092848905,34.56960522779171
1999-08-01,34.946281628998776,35.38125715501056,34.44631891270845,34.67064418168532,34.570046605875646
1999-09-01,34.94634567810049,35.38102589705352,34.44653391407886,34.670787157149185,34.57035806269025
1999-10-01,34.94653142380713,35.38070904780634,34.44674951239394,34.67095662193722,34.570569786298485
1999-11-01,34.946805986203934,35.380281696961525,34.446944110338535,34.671055321736546,34.570800195790845
1999-12-01,34.94719940951579,35.379930858103236,34.4471281162053,34.671134073398996,34.570961656701705
2000-01-01,34.94766091021627,35.37956228924051,34.44727165722023,34.671275315111274,34.57100819376708
2000-02-01,34.94821978216753,35.37923521521482,34.447318598779844,34.67142196297095,34.57112029023817
2000-03-01,34.94872668102838,35.378929892128774,34.44729044670658,34.67156211612421,34.57136805397795
2000-04-01,34.94915925488101,35.378621550028846,34.44726280030032,34.67167948341181,34.571670862309695
2000-05-01,34.94933838637094,35.37841099713984,34.447322813400454,34.67169812370273,34.5720412914588
2000-06-01,34.94954023899379,35.378208298192845,34.447477999167624,34.67176731658166,34.572447835891545
2000-07-01,34.94985007857385,35.37798346804443,34.4476773714965,34.671800767869556,34.57287597873532
2000-08-01,34.95007858245793,35.37782726094482,34.447901579376136,34.67182904401355,34.573292171559615
2000-09-01,34.95021360215441,35.37758112299581,34.44813860823112,34.6719138656209,34.57363908735553
2000-10-01,34.950470583068764,35.37723661749272,34.44835410565064,34.671994477317604,34.57393486181219
2000-11-01,34.95086672159814,35.37680490305969,34.44856232345325,34.67209219975961,34.57412474106715
2000-12-01,34.95144359377802,35.376341933448224,34.44878377382633,34.67212509835154,34.5742974989295
2001-01-01,34.95207648728057,35.37600891544561,34.44897071783006,34.672253691153145,34.57427253485223
2001-02-01,34.952650801990096,35.37568384927166,34.44905515681672,34.67232102759066,34.57444291479812
2001-03-01,34.95317024991747,35.37536548187502,34.449042378917284,34.67240411035142,34.5747197364506
2001-04-01,34.95359256046693,35.37503757886385,34.44904540972329,34.67250186632304,34.57498028855743
2001-05-01,34.953811984698454,35.37482172813641,34.44913208013106,34.67251327961412,34.57535552750991
2001-06-01,34.95408688245954,35.37465830424504,34.44928738582401,34.67255920663625,34.575780700149956
2001-07-01,34.95430753997655,35.37455428689104,34.44950240680587,34.67256869331509,34.57619629099404
2001-08-01,34.954448783678274,35.374488324155784,34.4496870371381,34.67251282556566,34.57665475726972
2001-09-01,34.954611915956356,35.374233532248994,34.44987397308319,34.672550255455164,34.576949446435215
2001-10-01,34.9548249458769,35.373840738781645,34.45004533924764,34.67257873060559,34.5771438090912
2001-11-01,34.9550867201435,35.37346000443211,34.45022466372241,34.672614504040475,34.57731878311303
2001-12-01,34.955445973276696,35.373039389392154,34.450439479647684,34.67262299718957,34.57749139987363
2002-01-01,34.95585344849703,35.372564964432314,34.45057479185137,34.67268070090928,34.57751394413737
2002-02-01,34.95623482030251,35.37214651541109,34.45059016486679,34.67270374657223,34.57766608159629
2002-03-01,34.95672226852384,35.37167955859038,34.45053646999821,34.672765400249034,34.57779492607787
2002-04-01,34.95710656297208,35.37119744182743,34.450491463299706,34.67287355698391,34.57799812146107
2002-05-01,34.95729588776489,35.37100538117099,34.45056798842118,34.67287335694471,34.57823967120987
2002-06-01,34.95741230303933,35.37092592155543,34.450722154076566,34.67286149908408,34.578593955760425
2002-07-01,34.95759905556591,35.3707806731151,34.4509178586382,34.67274707182163,34.5791323104308
2002-08-01,34.95776670675174,35.37061396429533,34.4511659993537,34.67263342390223,34.57966460453422
2002-09-01,34.957845833529326,35.37030141422067,34.45141329879884,34.67263147440945,34.58010675970716
2002-10-01,34.958109807153555,35.36990621902873,34.451646664791724,34.67267330920496,34.58038786071385
2002-11-01,34.958551773359666,35.36951858322404,34.45187847467539,34.67272960544038,34.580487501100656
2002-12-01,34.95907307596677,35.36906482472706,34.4520787470628,34.672760490706814,34.58053377801067
2003-01-01,34.959652269030954,35.36857595964789,34.45224113919906,34.672785835475096,34.580605336981854
2003-02-01,34.96014656576943,35.36817111024686,34.45234371024818,34.67287037871045,34.5806928703132
2003-03-01,34.96054360428341,35.36782626698399,34.45238500016971,34.672969586589524,34.580839051479145
2003-04-01,34.96084635868362,35.36755963123005,34.45242076210148,34.673027563853765,34.58101780724123
2003-05-01,34.96104283752737,35.36735996337422,34.452496394118356,34.672992984285216,34.581304010173255
2003-06-01,34.96116550437348,35.36717550306305,34.45264256447198,34.67303069623983,34.58168093818172
2003-07-01,34.9613625642116,35.367085667290404,34.452811404085665,34.67308500790183,34.5820016356468
2003-08-01,34.961556463333736,35.366994080875585,34.45300935474178,34.673110168219,34.58237096644911
2003-09-01,34.9616618625468,35.36678782598843,34.453207923414155,34.673166121641906,34.58281580376581
2003-10-01,34.961818118205734,35.366561934116476,34.453406626820424,34.673223629249975,34.58307379532717
2003-11-01,34.96206000159545,35.366216152765354,34.45359791416508,34.67330458181695,34.58320663863333
2003-12-01,34.96241394267572,35.36580720119992,34.45380797340675,34.673382098518566,34.58332174640946
2004-01-01,34.962903733938134,35.3653795740208,34.453990754409226,34.673476062618256,34.58343396107461
2004-02-01,34.963456269629866,35.36503025532789,34.45409570204141,34.6735314722596,34.58351723684295
2004-03-01,34.96402573361949,35.36474519270586,34.45410495574287,34.67354185962198,34.58369587564625
2004-04-01,34.96436947451714,35.36445867121623,34.45412977831689,34.67358284345726,34.58390875521912
2004-05-01,34.96456196753277,35.364297497243875,34.45420628286253,34.67361271412855,34.58417877068829
2004-06-01,34.96478680914616,35.364203533674186,34.45435881640825,34.67360148732785,34.58461532628271
2004-07-01,34.96508603396174,35.36409646857782,34.45452439741866,34.67364633186149,34.585074155195386
2004-08-01,34.96529196075393,35.3639652029294,34.45469945445828,34.67361892928141,34.585535344981004
2004-09-01,34.96533309476091,35.363791069711596,34.45488701860481,34.67373721907054,34.58582639133081
2004-10-01,34.96554267009333,35.36347956652766,34.45508035480247,34.673861520419315,34.58603012627329
2004-11-01,34.965835012162884,35.363066862481936,34.45528622759766,34.67397421189036,34.586159653053095
2004-12-01,34.96611927171884,35.362681504801365,34.455504730828544,34.6740333965974,34.586269622002774
2005-01-01,34.966507176136005,35.362323576914804,34.45569644033473,34.6740730945569,34.58636731219192
2005-02-01,34.96686919935349,35.36201703797978,34.45584154726659,34.67406054945876,34.58651654007507
2005-03-01,34.96726095668665,35.361721240345325,34.45585117480876,34.67411655706738,34.58660872996327
2005-04-01,34.9675683457618,35.36147748960937,34.45580990740039,34.67416646575014,34.58673676218715
