date,F_NA,F_SA,F_SO,F_PO,F_IO,SST_NA,SST_SA,SST_SO,SST_PO,SST_IO,pCO2_air,month_sin,month_cos,year_norm,DISEQ_NA,DISEQ_SA,DISEQ_SO,DISEQ_PO,DISEQ_IO
1997-09-01,-0.1058644825476644,0.2661045044047135,-0.0379835464995625,-0.3536282443798532,1.0245997037464336,291.85154358752214,290.3042755658069,272.30596211234564,292.835819153329,291.5625890192681,362.2359952982478,-1.0,-1.8369701987210297e-16,0.3709032773780981,-0.001739634162176545,-0.0026965972438505806,0.00964095585687129,-0.006181659828685371,-0.004125392717703052
1997-10-01,0.038606856439512,0.1255095470933638,-0.0453793727940932,0.2935204054185396,0.8313910482637223,291.8532202998509,290.3041276206014,272.30540978357857,292.8373479204523,291.56284545762423,362.4150287229052,-0.8660254037844386,0.5000000000000001,0.37390087929656113,-0.0017348350514066885,-0.0026897246692256863,0.009648777353272008,-0.006176163468634744,-0.00411948818127684
1997-11-01,0.287103573528157,0.1968220042468111,-0.0504638794707308,0.9090484501603718,0.4650809239723437,291.85495290259064,290.30397474388906,272.3048390438525,292.8389276464797,291.5631104439256,362.60002992838446,-0.5000000000000004,0.8660254037844384,0.37699840127897155,-0.0017298253013094764,-0.002682650258195458,0.009657178707524203,-0.006170485107092061,-0.00411337139865527
1997-12-01,0.4866328433679851,0.17734862113022,-0.0383539204156036,0.3545572008844002,0.3173495815228868,291.85662961491937,290.3038267986836,272.30428671508537,292.84045641360296,291.5633668822818,362.7790633530424,-2.4492935982947064e-16,1.0,0.3799960031974429,-0.0017250013345652161,-0.0026757947976552305,0.009665172214522292,-0.006164990083227399,-0.0041074593747266915
1998-01-01,0.639451542634747,0.227582867946663,-0.097348659554154,-0.8433914077179868,0.2559792388847478,291.85836221765913,290.30367392197127,272.30371597535935,292.8420361396304,291.5636318685832,362.9640645585216,0.49999999999999994,0.8660254037844387,0.3830935251798534,-0.0017200166128958083,-0.002668713393760744,0.009673442606584514,-0.0061593124050571615,-0.004101350352546459
1998-02-01,0.4317945953897589,0.3931449972173087,-0.1323941088154536,-0.1524231372341234,-0.4946020942644488,291.86009482039884,290.30352104525895,272.30314523563334,292.8436158656578,291.56389685488455,363.14906576400085,0.8660254037844386,0.5000000000000001,0.3861910471622638,-0.001715031946102086,-0.0026616345543592455,0.009681723420494366,-0.006153635248157943,-0.004095241401139944
1998-03-01,0.5871580065034352,0.1957859366707697,-0.236340919452468,-0.2951318867736079,-0.234277831853345,291.8616597519057,290.3033829630672,272.30262972878404,292.84504271497286,291.56413619735025,363.3161636270146,1.0,6.123233995736766e-17,0.3889888089528321,-0.0017105545651256299,-0.0026552312748718294,0.009689061659736707,-0.006148507600073837,-0.0040897313167616006
1998-04-01,0.1916786255639474,0.3598410288912659,-0.2532949931834068,0.4374427927246316,-0.3602695374672977,291.86339235464544,290.3032300863548,272.30205898905797,292.84662244100025,291.5644011836516,363.50116483249434,0.8660254037844387,-0.4999999999999998,0.39208633093525086,-0.0017055451320136077,-0.0026481691056341114,0.009697512842500798,-0.006142831777015032,-0.004083614881362279
1998-05-01,-0.1472754788266396,0.6831868599040651,-0.1345685169370097,-0.0977281085932792,-0.3399947825648622,291.8650690669742,290.30308214114933,272.3015066602909,292.8481512081235,291.5646576220078,363.68019825715174,0.49999999999999994,-0.8660254037844387,0.39508393285371396,-0.001700746227477342,-0.0026413142788908276,0.009705406222451592,-0.006137338869853626,-0.004077710805786993
1998-06-01,-0.0095454355921564,0.8071043901932182,-0.0868454591701052,-0.003471515699255,0.6773016086915825,291.8668016697139,290.302929264437,272.3009359205648,292.84973093415095,291.5649226083092,363.865199462631,1.2246467991473532e-16,-1.0,0.3981814548361244,-0.0016957369389861005,-0.0026342569727751276,0.00971387724668525,-0.006131664071897518,-0.004071594511100075
